Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
6828,2499,55,22,390,136,816,227,186,81,1370,42.81,315.11,308.71,55.32,Type_10,Area_4,Type_3
1891,2092,262,17,309,84,417,176,246,208,242,35.95,428.47,173.17,49.1,Type_5,Area_4,Type_3
14113,2837,106,20,638,208,2652,249,211,81,1874,41.21,326.23,996.17,60.28,Type_10,Area_3,Type_3
4725,2298,308,37,127,81,1345,99,191,219,1082,43.18,360.29,1199.16,61.57,Type_10,Area_4,Type_3
14903,2604,104,30,30,9,1464,253,186,37,1333,34.61,278.81,617.33,30.07,Type_3,Area_3,Type_3
13003,2319,317,23,201,68,713,154,214,197,426,86.86,364.1,1121.67,55.65,Type_10,Area_4,Type_3
11031,2506,180,21,60,4,1782,223,248,147,845,46.38,442.1,309.4,53.64,Type_4,Area_3,Type_3
7464,2698,225,7,228,20,2100,211,247,172,1708,52.1,383.06,967.39,56.64,Type_4,Area_3,Type_3
8185,2751,52,11,108,21,2436,226,216,123,2215,47.33,350.58,129.06,55.64,Type_11,Area_3,Type_3
3852,2156,185,13,330,158,467,222,249,157,616,36.98,224.31,385.77,50.54,Type_2,Area_4,Type_3
4943,2421,302,3,120,60,1144,211,238,165,932,80.91,373.68,491.45,18.26,Type_6,Area_4,Type_3
4891,2296,333,29,285,4,1100,140,188,179,1155,48.97,274.34,1040.35,61.34,Type_10,Area_4,Type_3
10963,2502,212,17,42,9,949,204,254,181,732,59.12,158.37,769.08,21.08,Type_2,Area_3,Type_3
3217,2290,119,34,134,61,1024,254,189,32,850,39.92,380.43,212.23,22.17,Type_6,Area_4,Type_3
13282,2420,200,9,450,114,930,217,248,166,1289,33.88,319.0,967.21,64.15,Type_6,Area_4,Type_3
2184,2027,349,4,0,0,454,213,233,158,592,48.24,176.96,1191.43,14.58,Type_17,Area_4,Type_3
4309,2327,321,23,150,37,1300,155,210,192,408,79.72,260.71,125.62,9.41,Type_10,Area_4,Type_3
2814,1962,87,20,124,50,124,245,203,79,541,39.76,188.97,643.63,6.91,Type_3,Area_4,Type_3
1969,2110,54,25,342,150,390,225,177,71,466,50.07,308.75,155.85,12.48,Type_1,Area_4,Type_3
10952,2678,174,11,306,148,2350,227,246,150,981,76.29,443.23,274.9,8.64,Type_4,Area_3,Type_3
3546,2317,1,9,390,98,720,207,223,153,351,39.3,312.03,953.88,5.01,Type_6,Area_4,Type_3
